433CL,433STL,874,47A,47ACL,433LnkSTL,480,445A,445STL
1.New Delhi Railway Station Gate 2,1.Kushak Nallah Depot,1.Uttam Nagar Terminal ,1.Inder Puri JJ Colony,1.Inder Puri JJ Colony,1.New Delhi Railway Station Gate 2,1.Kendriya Terminal Church Road,1.New Delhi Railway Station Gate 2,1.Kushak Nallah Depot
2.Shivaji Park ,2.Lodhi Colony,2.Uttam Nagar / A1 Janak Puri ,2.Loha Mandi,2.Inder Puri (Krishi Kunj),2.Shivaji Park,2.Gurudwara Rakab Ganj,2.Shivaji Park,2.Lodhi Colony
3.Super Bazar,3.Central School Lodhi Road,3.Tilak Pul ,3.West Patel Nagar,3.Loha Mandi,3.Super Bazar,3.Kendriya Terminal,3.Super Bazar,3.18-Block Lodhi Colony
4.Palika Kendra,4.J L Nehru Stadium,4.Jivan park ,4.Shankar Road,4.Bentax,4.Palika Kendra,4.NDPO,4.Statesman House,4.J.L.N.Stadium (Sunhari Pullah Nallah Parking)
5.PS Parliament,5.Jantar Mantar,5.Sewa Nagar Flyover,5.Janak Puri C-1 ,5.Ridge Road,5.Naraina Depot,5.PS Parliament / Jantar Mantar,5.Gurudwara Bangla Sahib,5.Modern School,5.Ishpat Bhawan
6.Aakashwani Bhawan,6.Defence Colony,6.A-3 Janak Puri ,6.Kendriya Terminal,6.Pandav Nagar,6.Aakashwani Bhawan,6.Patel Chowk,6.Mandi House,6.C.G.O.Complex
7.Krishi Bhawan,7.PT College Kotla,7.Janak Puri C-2 ,7.Krishi Bhawan,7.Shadipur Colony,7.Krishi Bhawan,7.Aakashwani Bhawan,7.Tilak Bridge,7.Pant Nagar
8.Udyog Bhawan,8.Andrews Ganj,8.Janak Puri C-2B ,8.Shaha Jahan Road,8.Shadipur Metro Station,8.Udyog Bhawan,8.Krishi Bhawan,8.Supreme Court,8.Defence Colony
9.Sunehri Masjid/ G Block,9.Gupta Market,9.C4E Janakpuri ,9.Ravindra Nagar,9.West Patel Nagar,9.Sunehri Masjid/ G Block,9.Udyog Bhawan,9.Pragati Maidan Gate 5,9.Mool Chand Khairati Ram Hospital (MCKR Hospital)
10.Krishan Menon Marg,10.Lajpat Nagar,10.C-4H Janakpuri ,10.Lodhi Colony,10.South Patel Nagar (Metro Station),10.Krishan Menon Marg,10.Sunehri Masjid/ G Block,10.ITPO Gate No.3,10.Central School (South Delhi)
11.Pirthvi Raj Road,11.Lajpat Nagar Ring Road,11.Janakpuri C-5A ,11.Defence Colony,11.East Patel Nagar,11.Pirthvi Raj Road,11.Krishan Menon Marg,11.National Stadium,11.Central School (South Delhi)
12.Tughlaq Crescent,12.Lajpat Nagar Crossing,12.Desu Colony ,12.Mool Chand Khairati Ram Hospital (MCKR Hospital),12.Rajender Nagar,12.Tughlaq Crescent,12.Police Station Tughlak Road,12.Zoo,12.Lady Shri Ram College
13.SJ Madrasa,13.Garhi Village,13.Sagarpur Vashisht Park ,13.Lajpat Nagar,13.Shankar Road,13.SJ Madrasa,13.Tughlaq Crescent,13.Sunder Nagar,13.Kailash Colony
14.Safdarjung Airport,14.B-Block East of Kailash,14.D-Block Janakpuri ,14.Sri Niwas Puri Depot,14.New Rajender Nagar,14.Safdarjung Airport,14.SJ Madrasa,14.Delhi Public School,14.Sant Nagar
15.I.N.A.Colony,15.C-Block East of Kailash,15.Lajwanti Garden ,15.Punj Sons,15.Upper Ridge Road,15.I.N.A.Colony,15.Safdarjung Airport,15.Amir Khusro Park / Oberoi Hotel,15.Nehru Place
16.Kidwai Nagar,16.SNPD,16.Lajwanti Garden/ Nangal Rai ,16.C.Lal Chowk,16.Talkatora Stadium,16.Kidwai Nagar,16.I.N.A.Colony,16.C.G.O.Complex,16.Nehru Place Terminal
17.AIIMS Ring Road,17.Laghu Udyog Sansthan (NSIC),17.Janak Setu ,17.Central Work Shop II Tehkhand,17.R.M.L.Hospital,17.AIIMS Ring Road,17.Kidwai Nagar,17.Pant Nagar,17.Kalkaji Mandir (MaaAnandmayeeMarg)
18.South Extension,18.Laghu Udyog Sansthan (NSIC),18.Supply Depot ,empty,18.Talkatora Road,18.South Extension,18.AIIMS Ring Road,18.Defence Colony,18.Govind Puri Metro Station
19.South Extension ,19.Kalka Ji,19.Kirby Place ,empty,19.Gurudwara Rakab Gunj,19.South Extension,19.South Extension,19.Mool Chand Khairati Ram Hospital (MCKR Hospital),19.Govindpuri
20.Andrews Ganj,20.Kalkaji Mandir (MaaAnandmayeeMarg),20.Thimiyan Park ,empty,20.Kendriya Terminal,20.Andrews Ganj,20.South Extension,20.Central School (South Delhi),20.Govindpuri Gali No 5
21.Gupta Market,21.Govind Puri Metro Station,21.S O Flats Carriappa Marg ,empty,21.NDPO,21.Gupta Market,21.Andrews Ganj,21.Central School (South Delhi),21.Ram Puri Gali No 13
22.Lajpat Nagar,22.Kalkaji Depot,22.R.R.Lines ,empty,22.Gurudwara Bangla Sahib,22.Gupta Market,22.Gupta Market,22.Lady Shri Ram College,22.Govindpuri Extn Gali No.16
23.Lajpat Nagar Ring Road,23.C.Lal Chowk,23.Golf Club ,empty,23.Patel Chowk,23.Lajpat Nagar,23.Lajpat Nagar,23.Kailash Colony,23.DDA Market Kalkaji
24.Lajpat Nagar Crossing,24.Crown Plaza,24.Dhaula Kuan ,empty,24.Aakashwani Bhawan,24.Lajpat Nagar Crossing,24.Lajpat Nagar Ring Road,24.Sant Nagar,24.Kalka Ji DDA Flats
25.Garhi Village,25.Bank,25.Satya Niketan Dhaula Kuan ,empty,25.KrishiBhawan/RailBhawanMetroStation,25.Garhi Village,25.Lajpat Nagar Crossing,25.Nehru Place,25.Tara Apartment
26.B-Block East of Kailash,26.Okhla Ph-I,26.Moti bagh Gurudwara Nanakpura ,empty,26.Udyog Bhawan,26.B-Block East of Kailash,26.Garhi Village,26.Nehru Place Terminal,26.Guru Ravi Das Ashram / Tughlaqabad Extension
27.C-Block East of Kailash,27.ESI Hospital Okhla,27.Moti Bagh ,empty,27.Udyog Bhawan,27.C-Block East of Kailash,27.B-Block East of Kailash,27.Kalkaji Mandir (MaaAnandmayeeMarg),27.Jamia Hamdard Library
28.SNPD,28.Tehkhand Depot DTC,28.Aradhana Enclave ,empty,28.Nirman Bhawan,28.SNPD,28.C-Block East of Kailash,28.Govind Puri Metro Station,28.Majeedia Hospital
29.Laghu Udyog Sansthan (NSIC) ,29.Prem Nagar Mishra Chowk,29.RK Puram Sec-13 ,empty,29.Vigyan Bhawan,29.Laghu Udyog Sansthan (NSIC),29.SNPD,29.Govindpuri,29.Hamdard Nagar
30.Laghu Udyog Sansthan (NSIC),30.Lal Kuan,30.Hyatt Hotel,empty,30.Akbar Road,30.Laghu Udyog Sansthan (NSIC),30.Laghu Udyog Sansthan (NSIC),30.Govindpuri Gali No 5,empty
31.Kalka Ji,31.Surajkund Crossing,31.Narouji Nagar ,empty,31.Baroda House,31.Kalka Ji,31.Laghu Udyog Sansthan (NSIC),31.Ram Puri Gali No 13,empty
32.Kalkaji Mandir (MaaAnandmayeeMarg),32.Prahladpur,32.Safdarjung Hospital ,empty,32.National Stadium,32.Kalkaji Mandir (MaaAnandmayeeMarg),32.Kalkaji Mandir (MaaAnandmayeeMarg),32.Govindpuri Extn Gali No.16,empty
33.Govind Puri Metro Station,33.Badarpur New M.B.Road,33.AIIMS Ring Road ,empty,33.Shaha Jahan Road,33.Govind Puri Metro Station,33.Govind Puri Metro Station,33.DDA Market Kalkaji,empty
34.Kalkaji Depot,34.Jaitpur Mor,South Extension,empty,34.Humayun Road,34.Kalkaji Depot,34.Govindpuri,34.Kalka Ji DDA Flats,empty
35.C.Lal Chowk,35.Badarpur Border,35.Andrews Ganj,empty,35.Sujan Singh Park,35.C.Lal Chowk,35.Govindpuri Gali No 5,35.Tara Apartment,empty
36.Crown Plaza,empty,36.Central School (South Delhi),empty,36.Ravindra Nagar,36.Crown Plaza,36.Ram Puri Gali No 13,36.Guru Ravi Das Ashram / Tughlaqabad Extension,empty
37.Bank,empty,37.Central School (South Delhi),empty,37.Max Mueller Marg,37.Bank,37.Govindpuri Extn Gali No.16,37.Jamia Hamdard Library,empty
38.Okhla Ph-I,empty,38.Lady Shri Ram College,empty,38.Lodhi Road X-ing,38.Okhla Ph-I,38.DDA Flats Kalkaji,38.Majeedia Hospital,empty
39.ESI Hospital Okhla,empty,39.Kailash Colony,empty,39.Lodhi Colony 18-Block,39.ESI Hospital Okhla,39.DDA Flats Kalkaji,39.Hamdard Nagar,empty
40.Tehkhand Depot DTC,empty,40.Sant Nagar,empty,40.Lodhi Colony,40.Central Work Shop II Tehkhand,empty,empty,empty
41.Prem Nagar Mishra Chowk,empty,41.Nehru Place,empty,41.Central School Lodhi Road,41.Okhla Depot IV CWS II,empty,empty,empty
42.Lal Kuan,empty,42.Nehru Place Terminal,empty,42.J L Nehru Stadium,empty,empty,empty,empty
43.Surajkund Crossing,empty,43.Kalkaji Mandir (MaaAnandmayeeMarg),empty,43.Sewa Nagar Flyover,empty,empty,empty,empty
44.Prahladpur,empty,44.Govind Puri Metro Station,empty,44.Defence Colony,empty,empty,empty,empty
45.Badarpur New M.B.Road,empty,45.Kalkaji Depot,empty,45.PT College Kotla,empty,empty,empty,empty
46.Jaitpur Mor,empty,46.C.Lal Chowk,empty,46.Andrews Ganj,empty,empty,empty,empty
47.Badarpur Border,empty,47.Crown Plaza,empty,47.Gupta Margket,empty,empty,empty,empty
empty,empty,48.Bank,empty,48.Lajpat Nagar,empty,empty,empty,empty
empty,empty,49.Indra Kalyan Vihar,empty,49.Lajpat Nagar Ring Road,empty,empty,empty,empty
empty,empty,50.Okhla Ph-I,empty,50.Lajpat Nagar Crossing,empty,empty,empty,empty
empty,empty,51.ESI Hospital Okhla,empty,51.Garhi Village,empty,empty,empty,empty
empty,empty,52.Tehkhand Depot DTC,empty,52.B-Block East of Kailash,empty,empty,empty,empty
empty,empty,53.Prem Nagar Mishra Chowk,empty,53.C-Block East of Kailash,empty,empty,empty,empty
empty,empty,54.Lal Kuan,empty,54.SNPD,empty,empty,empty,empty
empty,empty,55.Surajkund Crossing,empty,55.Laghu Udyog Sansthan (NSIC),empty,empty,empty,empty
empty,empty,56.Prahladpur,empty,56.Laghu Udyog Sansthan (NSIC),empty,empty,empty,empty
empty,empty,57.Jaitpur Mor,empty,57.Kalka Ji,empty,empty,empty,empty
